"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"l_s313.10","l_s313","Right_IFG",0.0802242961134081,-0.045835231409654,0.0559662455557511,0.0216688680760413,0.0237409956085197,-0.0020721275324784,"Prefrontal"
"l_s314.10","l_s314","Right_IFG",0.119221897512328,-0.0285686882858967,0.076244587046233,0.0709936939155877,0.0809889163019868,-0.00999522238639911,"Prefrontal"
"l_s315.10","l_s315","Right_IFG",0.0895548078361997,-0.0599014458550185,-0.0376174826889875,0.0616946048536664,-0.0157979581833579,0.0774925630370243,"Prefrontal"
"l_s317.10","l_s317","Right_IFG",0.146410186111341,-0.0210256225076501,0.0609538848543379,0.00417776652683081,0.0608922281742759,-0.0567144616474451,"Prefrontal"
"l_s318.10","l_s318","Right_IFG",0.0293216272599506,-0.031502487809298,-0.00169819677068077,0.0772209235097141,-0.0400950637465953,0.117315987256309,"Prefrontal"
"l_s319.10","l_s319","Right_IFG",-0.0399584618139899,0.0360016954265791,0.0401209471494356,0.0670280504943829,-0.0189998289216626,0.0860278794160455,"Prefrontal"
"l_s320.10","l_s320","Right_IFG",0.0087987471037927,-0.0662006062867654,-0.0576116658699935,-0.0173845177416781,-0.0135734763789187,-0.0038110413627594,"Prefrontal"
"l_s322.10","l_s322","Right_IFG",-0.0417177713241129,0.0503431816780832,-0.0112632270041298,0.0816152154245283,-0.0371808072430423,0.118796022667571,"Prefrontal"
"o_s307.10","o_s307","Right_IFG",-0.0532292237922533,-0.0183903663003724,-0.0398814444403704,-0.0213748204030523,-0.0323736402716196,0.0109988198685673,"Prefrontal"
"o_s309.10","o_s309","Right_IFG",0.0570597448031019,-0.00082273558467302,0.0114238527308516,0.0777278021211191,0.0543231593295521,0.023404642791567,"Prefrontal"
"o_s321.10","o_s321","Right_IFG",0.0169939639968785,0.0210825651844184,-0.0260599592821817,-0.0366293502462727,0.00690074878100543,-0.0435300990272781,"Prefrontal"
"o_s323.10","o_s323","Right_IFG",0.146059708468193,-0.0368339080722022,0.0155636540293313,0.083665542094953,0.0353493150476409,0.0483162270473121,"Prefrontal"
"o_s324.10","o_s324","Right_IFG",-0.0270051791585221,0.00355637136034277,0.0185033919377213,0.0115680333876972,0.0102473922514012,0.001320641136296,"Prefrontal"
"o_s325.10","o_s325","Right_IFG",0.0201453327299684,0.00317493378321153,-0.00998520094207007,-0.0302191000799394,-0.0152158365871375,-0.0150032634928019,"Prefrontal"
"o_s326.10","o_s326","Right_IFG",0.0230792488818654,0.0280265788768745,0.0142379178558355,0.0676185418295115,0.0899710775504217,-0.0223525357209102,"Prefrontal"
"o_s327.10","o_s327","Right_IFG",-0.0651308923748869,0.014651506939583,-0.0418140143825094,0.0261851013876416,-0.03218637975958,0.0583714811472216,"Prefrontal"
"o_s328.10","o_s328","Right_IFG",0.0341682915668059,-0.00982661369973243,0.00793505951048906,0.0189805652670008,0.0275263668902011,-0.0085458016232003,"Prefrontal"
"o_s329.10","o_s329","Right_IFG",-0.0636748665252445,0.0420853078207044,-0.0320454712002365,0.0291054556852049,-0.0023902862182597,0.0314957419034646,"Prefrontal"
"o_s330.10","o_s330","Right_IFG",0.00898981478217376,-0.00820898982027029,-0.0230586026242976,0.00470261887394827,-0.0280255932493552,0.0327282121233035,"Prefrontal"
"o_s331.10","o_s331","Right_IFG",0.133969464973502,-0.0254484290801025,0.095037211584347,0.134108100116088,0.0272975594081396,0.106810540707948,"Prefrontal"
"o_s332.10","o_s332","Right_IFG",0.0729041980991945,-0.0393346057449821,0.0226837814636003,0.0107491778904387,-0.02055931854704,0.0313084964374787,"Prefrontal"
"o_s333.10","o_s333","Right_IFG",0.0106354443952026,-0.0285028388982873,-0.0614633516823214,0.036965704153363,0.00692153483176233,0.0300441693216007,"Prefrontal"
"o_s334.10","o_s334","Right_IFG",0.23527964031348,-0.0472153673337923,0.133784843536408,0.158838035463269,0.0749872315029208,0.0838508039603482,"Prefrontal"
"o_s335.10","o_s335","Right_IFG",-0.0452870445000208,0.0101948383114651,-0.0433506683672956,0.0498803221992339,-0.00270206411151267,0.0525823863107466,"Prefrontal"
"o_s337.10","o_s337","Right_IFG",-0.0141880565222677,0.0101851431029045,0.0145236970231588,-0.0430215782383215,0.0246352761695508,-0.0676568544078723,"Prefrontal"
"o_s338.10","o_s338","Right_IFG",-0.0306464122758357,0.0814144892745187,-0.00913338593005031,0.121837812667673,0.0503214878032491,0.0715163248644239,"Prefrontal"
"o_s339.10","o_s339","Right_IFG",0.0781810279040791,-0.060587852268,-0.00404807107631694,0.0191275743836451,-0.0294609476965445,0.0485885220801896,"Prefrontal"
"o_s340.10","o_s340","Right_IFG",-0.0752144942242159,-0.000281347823030679,-0.0729871548696254,-0.0308074705916797,-0.0306883757915866,-0.0001190948000931,"Prefrontal"
"o_s342.10","o_s342","Right_IFG",-0.103069061409286,0.0684280023214127,-0.00340329026056247,0.0117150090615647,-0.0148208314005023,0.026535840462067,"Prefrontal"
"TD102.10","TD102","Right_IFG",0.0234343350490126,-0.0343639408661634,-0.0103925029125865,0.0609781309843346,-0.0105176271348757,0.0714957581192103,"Prefrontal"
"TD308.10","TD308","Right_IFG",0.0087937076485378,-0.0204492895676191,0.0274267154397725,-0.00228831506000165,-0.0163177186435454,0.0140294035835437,"Prefrontal"
"TD314.10","TD314","Right_IFG",-0.00375097786366963,0.0142964904061465,-0.00023964780514479,-0.0148226231941236,-0.0130745464132164,-0.0017480767809072,"Prefrontal"
"TD316.10","TD316","Right_IFG",0.12600892362261,-0.0135531561044416,0.0574050987470225,0.0302401129499234,0.00500924086730264,0.0252308720826208,"Prefrontal"
"TD317.10","TD317","Right_IFG",-0.0119790791864295,-0.00530740942447003,-0.0254904685516619,-0.0607042016563385,0.0493421621496118,-0.11004636380595,"Prefrontal"
"TD318.10","TD318","Right_IFG",0.110607218068844,-0.0737764561661204,0.0699965625417182,0.0601353005386166,0.00461431561718567,0.0555209849214309,"Prefrontal"
"TD323.10","TD323","Right_IFG",0.00719065423002064,0.00261684060274476,-0.0381509342314294,-0.0692004481788038,0.0843373049680729,-0.153537753146877,"Prefrontal"
"TD329.10","TD329","Right_IFG",-0.0639405201122354,0.0589543157458672,0.0268792517539388,-0.070213049244905,0.00253578250692785,-0.0727488317518328,"Prefrontal"
"TD330.10","TD330","Right_IFG",0.044160073834033,-0.0537682158359076,-0.0146307178131555,-0.00707498803744737,-0.00742040188552532,0.00034541384807795,"Prefrontal"
"TD355.10","TD355","Right_IFG",-0.0467124167227423,-0.0072935045485102,-0.0760259208803664,-0.0353050365375743,-0.0113283411597805,-0.0239766953777938,"Prefrontal"
"TD358.10","TD358","Right_IFG",-0.0357610464402974,-0.00985161948271908,-0.0372330571354765,-0.00858662594162263,-0.0465505549129219,0.0379639289712993,"Prefrontal"
"TD359.10","TD359","Right_IFG",-0.0289259411552377,-0.00103365664556892,0.0283833877279424,-0.0134997559412678,0.00309698353814665,-0.0165967394794145,"Prefrontal"
"TD360.10","TD360","Right_IFG",0.0938186658479097,0.0463076493064461,0.103400107236925,0.0578600811061928,0.03218637975958,0.0256737013466128,"Prefrontal"
"TD361.10","TD361","Right_IFG",0.00973268613687642,-0.0432788587098729,-0.0237680244691491,0.029462654383349,0.0172117274149274,0.0122509269684216,"Prefrontal"
"TD362.10","TD362","Right_IFG",-0.0721479737352874,-0.00909401197565459,-0.0387090882647293,-0.0376384371256285,-0.0323944471350432,-0.0052439899905853,"Prefrontal"
"TD363.10","TD363","Right_IFG",-0.0136240040464485,0.0110232099571279,0.00487645266488162,0.0190225677877739,-0.0264863557417138,0.0455089235294877,"Prefrontal"
"TD364.10","TD364","Right_IFG",0.02112294367462,-0.0357899260216039,-0.0182374988114061,0.0256809141444258,0.00787769992326731,0.0178032142211585,"Prefrontal"
"TD367.10","TD367","Right_IFG",0.0130906317941855,-0.0495488703960717,-0.0127640801573031,0.00680205706289244,0.00924961457020796,-0.00244755750731552,"Prefrontal"
"TD368.10","TD368","Right_IFG",-0.0532157000580272,0.0276683356012681,-0.00300466502947651,-0.0355572770825437,-0.0394288897453988,0.0038716126628551,"Prefrontal"
"TD369.10","TD369","Right_IFG",0.0712117686297393,-0.045513741164684,0.00220420182901588,0.016922520871614,-0.000976898035124183,0.0178994189067382,"Prefrontal"
"TD370.10","TD370","Right_IFG",-0.0492158171469868,-0.026822248621997,-0.0753530972066043,-0.0171535183914193,-0.0464880647021634,0.0293345463107441,"Prefrontal"
"TD373.10","TD373","Right_IFG",-0.0343581270844112,-0.0418294012266167,-0.0394789748090752,-0.0569333127075055,-0.0265071553958282,-0.0304261573116773,"Prefrontal"
